"","geoid","region_name","year","value","region_type","measure","measure_type","measure_units"
"218",51685,"Manassas Park City, Virginia",2018,8.28208291,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"219",51685,"Manassas Park City, Virginia",2018,8.28208291,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"220",51685,"Manassas Park City, Virginia",2018,8.28208291,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"221",51685,"Manassas Park City, Virginia",2019,6.318888474,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"222",51685,"Manassas Park City, Virginia",2019,6.318888474,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"223",51685,"Manassas Park City, Virginia",2019,6.318888474,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"224",51685,"Manassas Park City, Virginia",2019,6.318888474,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"225",51685,"Manassas Park City, Virginia",2019,6.318888474,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"226",51013100100,"Census Tract 1001, Arlington County, Virginia",2015,14.70497313,"tract","perc_poor_phys_hlth_days_14_and_over","mean","days"
"227",51013100100,"Census Tract 1001, Arlington County, Virginia",2015,14.70497313,"tract","perc_poor_phys_hlth_days_14_and_over","mean","days"
"228",51013100100,"Census Tract 1001, Arlington County, Virginia",2015,14.70497313,"tract","perc_poor_phys_hlth_days_14_and_over","mean","days"
"229",51013100100,"Census Tract 1001, Arlington County, Virginia",2015,14.70497313,"tract","perc_poor_phys_hlth_days_14_and_over","mean","days"
"230",51013100100,"Census Tract 1001, Arlington County, Virginia",2015,14.70497313,"tract","perc_poor_phys_hlth_days_14_and_over","mean","days"
"231",51013100100,"Census Tract 1001, Arlington County, Virginia",2016,7.783031103,"tract","perc_poor_phys_hlth_days_14_and_over","mean","days"
"232",51013100100,"Census Tract 1001, Arlington County, Virginia",2016,7.783031103,"tract","perc_poor_phys_hlth_days_14_and_over","mean","days"
"233",51013100100,"Census Tract 1001, Arlington County, Virginia",2016,7.783031103,"tract","perc_poor_phys_hlth_days_14_and_over","mean","days"
"234",51013100100,"Census Tract 1001, Arlington County, Virginia",2016,7.783031103,"tract","perc_poor_phys_hlth_days_14_and_over","mean","days"
"235",51013100100,"Census Tract 1001, Arlington County, Virginia",2016,7.783031103,"tract","perc_poor_phys_hlth_days_14_and_over","mean","days"
"236",51013100100,"Census Tract 1001, Arlington County, Virginia",2017,13.41938884,"tract","perc_poor_phys_hlth_days_14_and_over","mean","days"
